Month,Day,Hour,DOW/星期,气温℃,湿度%,气压hPa,降水量mm/h,经向风m/s,纬向风m/s,地面风速m/s,风向°,地表水平辐射W/m^2,直接辐射W/m^2,散射辐射W/m^2
1,1,0,7,11.7854248,88.22333497,959.1632813,0.499020098,4.60442543,4.400774479,6.369266014,226.295517,0.016076389,1.08E-05,0.016075688
1,1,1,7,11.87380371,87.60554914,959.6933594,0.399578363,5.273621559,4.379926205,6.855278106,230.2891846,0.016076389,1.08E-05,0.016075688
1,1,2,7,10.15517578,81.23407323,960.0100781,0.57964446,5.79361105,2.925635815,6.490398594,243.2073059,0.016076389,1.08E-05,0.016075688
1,1,3,7,9.866540527,78.3060569,960.9335938,0.085033476,5.631449699,2.260753155,6.06829717,248.1269379,0.016076389,1.08E-05,0.016075688
1,1,4,7,9.796105957,75.6920901,961.5489844,0.029840507,6.081526279,1.458386183,6.253946925,256.5147705,0.016076389,1.08E-05,0.016075688
1,1,5,7,9.648339844,73.26021652,962.6521875,7.87E-05,5.587893963,0.684192121,5.629625014,263.0193481,0.016076389,1.08E-05,0.016075688
1,1,6,7,9.0559021,71.90091274,963.7807813,7.87E-05,4.780882359,-0.081550002,4.781577828,270.9772339,0.016076389,1.08E-05,0.016075688
1,1,7,7,8.207971191,70.61583449,965.0891406,7.87E-05,4.994640827,-0.489495099,5.018569761,275.5973511,8.040243056,2.69800129,7.864872972
1,1,8,7,9.155328369,61.82327068,966.9021094,7.87E-05,6.039087296,-0.732628047,6.083364137,276.9169922,134.4411806,338.7662102,75.03133285
1,1,9,7,10.32158813,46.58080431,968.3642969,7.87E-05,6.739107609,-2.00886488,7.032148283,286.5988159,316.8788194,648.4271964,100.7820585
1,1,10,7,11.33522949,42.40994078,969.3386719,7.87E-05,5.790037632,-3.078030348,6.557347528,297.9954834,468.4772222,813.7916809,99.20259703
1,1,11,7,11.88485107,36.63905515,969.8174219,7.87E-05,5.053608894,-3.143955231,5.951757501,301.8865967,564.3864583,878.5822247,99.89640312
1,1,12,7,12.26601563,32.79206736,970.0484375,7.87E-05,4.431319237,-3.360887289,5.561668234,307.1781311,600.1559028,893.3562644,106.2275948
1,1,13,7,12.88744507,28.23537785,970.2449219,7.87E-05,3.352698088,-3.525135756,4.864891218,316.4361877,569.6972917,893.4964963,100.8364206
1,1,14,7,12.71621094,23.86390753,971.2455469,7.87E-05,1.253977299,-3.920403242,4.116068591,342.2626343,475.9223264,877.8757316,84.23825177
1,1,15,7,12.86535034,22.81120779,971.9294531,7.87E-05,0.499679774,-3.104794741,3.144746454,350.8572998,329.0556597,788.0848556,74.88417331
1,1,16,7,11.92006836,29.77997574,973.2682031,7.87E-05,0.519559085,-1.532459497,1.618138979,341.2714844,149.0997222,588.9035397,53.57290903
1,1,17,7,9.796105957,43.49859612,974.1685938,7.87E-05,1.440038919,-2.315387249,2.726670167,328.1207275,11.74625,5.758405942,11.37195361
1,1,18,7,9.318292236,40.93402263,975.120625,7.87E-05,0.982591033,-2.299892187,2.500997643,336.8662109,0.016076389,1.08E-05,0.016075688
1,1,19,7,7.767419434,45.58879998,976.4625781,7.87E-05,0.669435799,-2.263830662,2.360735808,343.5265503,0.016076389,1.08E-05,0.016075688
1,1,20,7,6.664727783,51.65732636,977.0770313,7.87E-05,0.206850618,-2.560210705,2.568553295,355.3808594,0.016076389,1.08E-05,0.016075688
1,1,21,7,6.408532715,51.29577433,978.6871875,7.87E-05,-0.696877003,-2.825881958,2.910540568,13.85302734,0.016076389,1.08E-05,0.016075688
1,1,22,7,6.001855469,53.51520108,978.8342188,7.87E-05,-1.72725153,-2.7067101,3.210868638,32.54344177,0.016076389,1.08E-05,0.016075688
1,1,23,7,4.891534424,56.91396374,979.4491406,7.87E-05,-2.445364237,-2.595426798,3.565956606,43.29483032,0.016076389,1.08E-05,0.016075688
