date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_hourly,temperature_2m,total_evaporation_hourly,total_precipitation_hourly,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
2022-05-24T00:00:00,289.0076904,101139.5898,1350756,294.336319,-7.96E-05,8.55E-07,-3.010009766,3.065964699,0.21975708
2022-05-24T01:00:00,289.0187225,101139.6172,2046168.25,295.8234863,-0.000123876,0,-2.877029419,2.62928772,0.219680786
2022-05-24T02:00:00,288.8298645,101123.6523,2642205.25,297.3533478,-0.000174681,0,-3.104736328,2.209152222,0.219573975
2022-05-24T03:00:00,288.5826721,101080.332,3100531.5,298.6828918,-0.000223672,0,-3.33454895,1.853973389,0.219421387
2022-05-24T04:00:00,288.3046265,101025.0625,3376771,299.8378906,-0.000261687,0,-3.520324707,1.508026123,0.21925354
2022-05-24T05:00:00,288.0248413,100966.7383,3398522,300.7214203,-0.000279176,0,-3.629302979,1.325698853,0.219070435
2022-05-24T06:00:00,287.7604523,100888.9023,3101878,301.3062286,-0.000271926,0,-3.689147949,1.44833374,0.218887329
2022-05-24T07:00:00,288.0015564,100888.4844,2641862,301.0835876,-0.000235775,0,-3.888473511,1.788650513,0.218734741
2022-05-24T08:00:00,287.8600922,100832.5742,2137964,300.8802338,-0.000199384,0,-3.907546997,1.768692017,0.218612671
2022-05-24T09:00:00,288.0665436,100833.4922,1489528,300.4093628,-0.000150512,0,-4.121490479,2.219665527,0.218521118
2022-05-24T10:00:00,288.3538818,100813.2852,772518,299.5843811,-9.50E-05,0,-4.088699341,2.701217651,0.218460083
2022-05-24T11:00:00,288.8482513,100865.3672,192954,298.5019073,-4.55E-05,0,-3.629486084,2.795578003,0.218429565
2022-05-24T12:00:00,289.3048248,100916.5938,200,297.537796,-2.41E-05,0,-3.231582642,3.382827759,0.218414307
2022-05-24T13:00:00,289.7145386,100943.4688,-2,296.7935181,-2.26E-05,0,-2.823196411,3.965179443,0.218383789
2022-05-24T14:00:00,290.1241455,100939.168,0,296.0365753,-2.09E-05,0,-2.502746582,4.360488892,0.21836853
2022-05-24T15:00:00,290.4667206,100919.5547,0,295.2650452,-1.92E-05,0,-2.065322876,4.557479858,0.21836853
2022-05-24T16:00:00,290.6985168,100892.207,0,294.5378113,-1.75E-05,0,-1.582382202,4.414382935,0.218353271
2022-05-24T17:00:00,290.8629761,100884.8359,0,293.8921967,-1.53E-05,0,-1.13117981,3.903015137,0.218353271
2022-05-24T18:00:00,290.9930878,100872.0508,0,293.331665,-1.26E-05,0,-0.793533325,3.375793457,0.218353271
2022-05-24T19:00:00,291.0289001,100856.5859,0,292.8048248,-1.05E-05,0,-0.810974121,3.425033569,0.218353271
2022-05-24T20:00:00,291.1194305,100864.2383,0,292.4846802,-9.88E-06,0,-0.663116455,2.955123901,0.218353271
2022-05-24T21:00:00,291.2099457,100869.6875,0,292.1657257,-8.08E-06,0,-0.741424561,2.721740723,0.218353271
2022-05-24T22:00:00,291.2994843,100879.082,129252,292.3658752,-8.94E-06,0,-0.819396973,2.804122925,0.218353271
2022-05-24T23:00:00,291.232254,100904.5,600636,293.6091614,-2.81E-05,0,-0.647872925,2.906677246,0.218338013
2022-05-25T00:00:00,290.989502,100902.1797,1177920,295.1860962,-6.33E-05,0,-0.7684021,2.695602417,0.218307495
2022-05-25T01:00:00,290.7769165,100870.7969,1866730,297.0288696,-0.000113973,0,-0.847045898,2.629241943,0.21824646
